Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2017-02-10,0.009687013,0.011410907,0.004199266,0.022970584,0.001170456,0.030163493,0.005487003,0.032068623
2017-02-13,0.002887733,-0.001493513,-0.034100058,0.005594789,0.000584594,0.004600075,-0.00411235,0.002701764
2017-02-14,0.000960617,0.016607405,0.011853562,0.01267176,-0.007038598,0.008126142,0.017699516,-0.001800136
2017-02-15,0.001279657,0.014018792,0.010125345,-0.007636344,-0.005903066,0.001011075,-0.025975508,-0.009050188
2017-02-16,-0.002240274,0.00434151,-0.007985143,-0.015450856,0.008255313,-0.010157776,-0.030944762,0.001816371
2017-02-17,0.004475257,-0.000578268,0.011689885,-0.003226496,-0.007663045,-0.002044116,-0.015839042,-0.006371959
2017-02-21,0.009523746,0.005187419,-0.001057558,0.014969487,0.016432337,0.015228931,0.00578875,0.027028239
2017-02-22,-0.014319921,0.002870509,0.006851609,-0.027162894,-0.010532675,-0.014206151,-0.026317352,-0.032522855
2017-02-23,0.015829008,0.002862098,-0.01801845,0.002722218,-0.001766336,-0.015967326,-0.001482558,-0.002758671
2017-02-24,-0.018572446,-0.028052269,-0.003750737,-0.028683653,-0.014268938,-0.025770746,-0.034720514,-0.031807796
2017-02-27,-0.001617368,-0.022914533,0.00214505,0.012788721,0.005970031,-0.020452478,0.024280382,-0.002861655
2017-02-28,0.003554878,-0.00331645,-0.00429428,-0.022347354,-0.005970031,-0.01644789,0.017831149,-0.022212174
2017-03-01,0.002899007,0.000603442,0.009636007,0.013468374,0.005375127,0.016991455,0.029029614,0.042071514
2017-03-02,0.003210941,-0.036892966,0.00159697,0.009707256,-0.011983748,-0.006543429,-0.03345771,-0.021771467
2017-03-03,-0.004498219,0.002502123,-0.005868409,0.031783654,0.014362709,-0.00493552,0.004428096,0.020834362
2017-03-06,-0.003225916,-0.018603549,-0.001070288,0.039837238,0.008873578,0.008757882,-0.010362854,-0.002815879
2017-03-07,-0.002588504,-0.006706203,0.003208373,-0.00128533,-0.023839385,-0.006012626,-0.02562306,-0.017061538
2017-03-08,-0.000647709,-0.023667896,0.016940905,-0.023163505,-0.011525586,-0.02441853,-0.040503955,-0.076464403
2017-03-09,0.001295523,0.010768491,0.033551475,-0.005279742,0.001219301,0,-0.011191172,0.001031699
2017-03-10,0.00032394,0.002593366,0.027042165,0.001851127,0.010909383,0.013947114,-0.01620781,0.017373982
2017-03-13,0.003230938,-0.014674733,-0.00346486,0.002638642,0.002407854,0.002213654,0.008136741,0.016080657
2017-03-14,-0.008747838,0.000656504,-0.022562785,-0.024001295,-0.018204057,-0.026004601,-0.034628398,-0.018109269
2017-03-15,0.006810328,0.012074111,0.006066807,0.022774079,0.010962368,0.027119873,0.053890639,0.03393555
2017-03-16,0.00193751,-0.004551508,-0.002018263,0.013158051,-0.003640314,-0.000557157,-0.012800223,-0.00196472
2017-03-17,-0.000645467,-0.006538282,-0.003034728,0.001567657,0.01508277,-0.008964032,-0.011336105,-0.034003179
2017-03-20,-0.003880574,0.051768865,-0.00967169,-0.007073053,-0.014475741,-0.009612714,-0.003262654,-0.022634482
2017-03-21,0.001295103,0.013302415,-0.010282957,-0.006593581,-0.004261564,-0.005126421,-0.028170893,-0.03710031
2017-03-22,-0.002268404,-0.008021722,-0.00778223,0.002114665,-0.007963334,-0.000571801,0.00836825,0.018192196
2017-03-23,0.005368609,-0.001550505,0.004157964,0.014158689,0.012832557,0.013057408,0.018167279,0.011597137
2017-03-24,0.001944593,0.003098119,0.003624266,-0.006268133,-0.006701553,0.003940548,-0.018167279,-0.00842092
2017-03-27,0.00323305,0.011073905,0.004125715,0.007308897,-0.007361391,0.01172861,-0.015113663,0.015731897
2017-03-28,-0.000645765,0.0241769,0.001028857,0.010349271,0.030920701,0.020335824,0.01844147,0.023651108
